PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,Population<br>Served Count,Number of Facilities,Number of Violations,Number of Site Visits
IA8403029,ALTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Sioux,ALTON,"1,248",12,11,9
IA7707030,ALTOONA WATER SUPPLY,Community water system,Ground water,Polk,ALTOONA,"19,565",23,17,9
IA6003032,ALVORD MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Lyon,ALVORD,206,11,38,11
IA4848001,AMANA SOCIETY WATER SYSTEM NORTH,Community water system,Ground water,Iowa,MIDDLE AMANA,"1,248",18,5,2
IA8503039,AMES WATER TREATMENT PLANT,Community water system,Ground water,Story,AMES,"55,177",51,5,9
IA5307048,ANAMOSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Jones,ANAMOSA,"4,457",17,18,11
IA5300947,ANAMOSA STATE  PENITENTIARY,Community water system,Ground water,Jones,ANAMOSA,"1,230",18,5,10
IA2307001,ANDOVER WATER SUPPLY,Community water system,Ground water,Clinton,ANDOVER,109,7,1,6
IA4903050,ANDREW WATER SUPPLY,Community water system,Ground water,Jackson,ANDREW,380,10,3,10
IA1503053,ANITA MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ANITA,963,15,4,10
IA7709053,"ANKENY, CITY OF",Community water system,Surface water purchased,Polk,ANKENY,"67,887",24,54,10
IA9704060,ANTHON MUNICIPAL WATER SYSTEM,Community water system,Ground water,Woodbury,ANTHON,545,9,6,10
IA1207061,APLINGTON WATER SUPPLY,Community water system,Ground water,Butler,APLINGTON,"1,116",10,10,12
IA1403062,ARCADIA WATER SUPPLY,Community water system,Ground water purchased,Carroll,ARCADIA,525,12,5,12
IA3307065,ARLINGTON WATER SUPPLY,Community water system,Ground water,Fayette,ARLINGTON,419,10,1,10
IA3203066,ARMSTRONG WATER SUPPLY,Community water system,Ground water,Emmet,ARMSTRONG,875,14,20,12
IA3003067,ARNOLDS PARK WATER DEPARTMENT,Community water system,Surface water purchased,Dickinson,ARNOLDS PARK,"1,110",9,0,9
IA4703068,ARTHUR MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Ida,ARTHUR,222,14,37,10
IA3102001,ASBURY MUNICIPAL WATER SYSTEM,Community water system,Ground water,Dubuque,ASBURY,"5,943",29,0,8
IA7209069,ASHTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Osceola,ASHTON,436,9,3,9
IA7009071,ATALISSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Muscatine,ATALISSA,296,9,24,11
IA0603072,ATKINS MUNICIPAL WATER WORKS,Community water system,Ground water,Benton,ATKINS,"2,056",14,31,9
IA1509074,ATLANTIC MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ATLANTIC,"6,902",37,1,11
IA8104076,AUBURN WATER SUPPLY,Community water system,Ground water,Sac,AUBURN,265,11,7,9
IA0505077,AUDUBON WATER SUPPLY,Community water system,Ground water,Audubon,AUDUBON,"2,053",26,3,13
IA1803079,AURELIA WATER SUPPLY,Community water system,Ground water,Cherokee,AURELIA,968,12,2,10
IA7709601,AUTUMN RIDGE ESTATES MHP,Community water system,Surface water purchased,Polk,ANKENY,"1,032",5,12,8
IA7803080,AVOCA WATER WORKS,Community water system,Ground water purchased,Pottawattamie,AVOCA,"1,683",14,4,10
IA5343301,BACON ADDITION,Community water system,Ground water,Jones,MONTICELLO,81,8,10,9
IA9405082,BADGER WATER SUPPLY,Community water system,Ground water,Webster,BADGER,522,7,12,11
IA4907084,BALDWIN WATER SUPPLY,Community water system,Ground water,Jackson,BALDWIN,99,8,0,10
IA5507085,BANCROFT WATER SUPPLY,Community water system,Ground water,Kossuth,BANCROFT,699,10,7,11
IA7905088,BARNES CITY WATER SUPPLY,Community water system,Ground water purchased,Poweshiek,BARNES CITY,156,9,6,11
IA9408087,BARNUM WATER SUPPLY,Community water system,Ground water,Webster,BARNUM,175,10,9,11
IA5107089,BATAVIA WATER WORKS,Community water system,Surface water purchased,Jefferson,BATAVIA,430,8,10,10
IA4709090,BATTLE CREEK WATER SUPPLY,Community water system,Ground water,Ida,BATTLE CREEK,700,15,32,10
IA5003091,BAXTER WATER SUPPLY,Community water system,Ground water purchased,Jasper,BAXTER,"1,002",12,3,10
IA3907092,BAYARD WATER SUPPLY,Community water system,Ground water,Guthrie,BAYARD,405,11,22,15
IA3803094,BEAMAN WATER SUPPLY,Community water system,Ground water purchased,Grundy,BEAMAN,161,9,9,11
IA9433312,BECKER WATER AND ROAD,Community water system,Ground water,Webster,FORT DODGE,50,8,6,7
IA8709096,BEDFORD WATER WORKS,Community water system,Surface water purchased,Taylor,BEDFORD,"1,508",14,38,10
IA3500933,BEEDS LAKE HOME OWNERS ASSOCIATION,Community water system,Ground water,Franklin,HAMPTON,75,6,30,12
IA0610099,BELLE PLAINE WATER DEPT,Community water system,Ground water,Benton,BELLE PLAINE,"2,380",18,9,9
IA4910000,BELLEVUE MUNICIPAL UTILITIES,Community water system,Ground water,Jackson,BELLEVUE,"2,363",15,11,8
IA9905003,BELMOND WATER SUPPLY,Community water system,Ground water,Wright,BELMOND,"2,463",16,15,14
IA0819305,BENEFIT WATER DISTRICT #2,Community water system,Purchased ground water under influence of surface water source,Boone,BOONE,100,6,5,10
IA1603005,BENNETT WATERWORKS,Community water system,Ground water,Cedar,BENNETT,347,7,1,10
IA9778301,BEREA HEIGHTS INC,Community water system,Ground water,Woodbury,SIOUX CITY,38,5,0,1
IA3113001,BERNARD WATER SYSTEM,Community water system,Ground water,Dubuque,BERNARD,114,8,3,9
IA5710001,BERTRAM WATER SUPPLY,Community water system,Ground water,Linn,BERTRAM,75,5,0,6
IA5260601,BEYONDER GETAWAY AT SLEEPY HOLLOW,Community water system,Ground water,Johnson,OXFORD,70,14,59,12
IA5784309,BIG CREEK BLUFFS,Community water system,Ground water,Linn,BERTRAM,80,6,19,9
IA8909011,BIRMINGHAM WATER SUPPLY,Community water system,Surface water purchased,Van Buren,BIRMINGHAM,367,11,7,12
IA5784316,BLAIRS FERRY MANOR,Community water system,Ground water,Linn,TODDVILLE,75,10,34,9
IA4003012,BLAIRSBURG WATER SUPPLY,Community water system,Ground water,Hamilton,BLAIRSBURG,176,13,6,10
IA0607013,BLAIRSTOWN WATER SUPPLY,Community water system,Ground water,Benton,BLAIRSTOWN,713,9,7,9
IA9027014,BLAKESBURG MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Wapello,BLAKESBURG,274,5,5,14
IA6709017,BLENCOE MUNICIPAL WATERWORKS,Community water system,Ground water,Monona,BLENCOE,233,11,21,13
IA2613019,BLOOMFIELD MUNI WATER DEPT,Community water system,Surface water purchased,Davis,BLOOMFIELD,"2,682",11,85,10
IA4609028,BODE MUNICIPAL WATER SUPPLY,Community water system,Ground water,Humboldt,BODE,315,9,48,12
IA8914031,BONAPARTE WATER SUPPLY,Community water system,Surface water purchased,Van Buren,BONAPARTE,359,9,3,10
IA7717032,BONDURANT MUNI WATER SUPPLY,Community water system,Surface water purchased,Polk,BONDURANT,"7,690",17,5,10
IA0819033,BOONE WATER WORKS,Community water system,Groundwater under influence of surface water,Boone,BOONE,"12,460",34,22,12
IA8409037,BOYDEN MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Sioux,BOYDEN,701,12,4,10
IA7324038,BRADDYVILLE WATER WORKS,Community water system,Surface water purchased,Page,BRADDYVILLE,147,9,17,24
IA1011001,BRANDON WATER SUPPLY,Community water system,Ground water,Buchanan,BRANDON,341,10,12,11
IA0510040,BRAYTON WATER SYSTEM,Community water system,Ground water purchased,Audubon,BRAYTON,143,9,19,15
IA1409041,BREDA WATER SUPPLY,Community water system,Ground water,Carroll,BREDA,500,12,14,11
IA2258603,BREEZY POINTE SUBDIVISION,Community water system,Ground water,Clayton,MCGREGOR,130,8,12,11
IA3170301,BRIARWOOD HOA,Community water system,Ground water,Dubuque,PEOSTA,70,7,6,9
IA9209043,BRIGHTON MUNICIPAL WATER SUPPLY,Community water system,Ground water,Washington,BRIGHTON,600,12,7,10
IA1222044,BRISTOW MUNI WATER SUPPLY,Community water system,Ground water,Butler,BRISTOW,145,7,26,13
IA4103045,BRITT WATER WORKS,Community water system,Ground water,Hancock,BRITT,"2,044",11,0,10
IA5715301,BRITTANY ESTATES HOMEOWNERS ASSOCIATION,Community water system,Ground water,Linn,CEDAR RAPIDS,72,8,45,9
IA9709046,BRONSON WATER SUPPLY,Community water system,Ground water,Woodbury,BRONSON,294,8,52,11
IA2330301,BROOKHILL ESTATES,Community water system,Ground water,Clinton,DE WITT,41,5,18,10
IA7909047,BROOKLYN WATER DEPARTMENT,Community water system,Ground water purchased,Poweshiek,BROOKLYN,"1,505",13,5,10
IA7514049,BRUNSVILLE MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Plymouth,BRUNSVILLE,129,11,4,9
IA9506052,BUFFALO CENTER MUNI WATER DEPT,Community water system,Ground water,Winnebago,BUFFALO CENTER,857,9,3,12
IA8218050,BUFFALO WATER SUPPLY,Community water system,Ground water,Scott,BUFFALO,"1,176",12,12,10
IA3170302,BURDS GREEN ACRES SUBDIVISION,Community water system,Ground water,Dubuque,PEOSTA,312,7,7,9
IA2909053,BURLINGTON MUNICIPAL WATERWORKS,Community water system,Surface water,Des Moines,BURLINGTON,"26,015",30,2,11
IA5510060,BURT WATER SUPPLY,Community water system,Ground water,Kossuth,BURT,418,8,1,12
IA6309061,BUSSEY WATER SUPPLY,Community water system,Ground water purchased,Marion,BUSSEY,387,12,26,10
IA2320062,CALAMUS WATER SUPPLY,Community water system,Ground water,Clinton,CALAMUS,356,11,9,10
IA9417063,CALLENDER WATER SUPPLY,Community water system,Ground water,Webster,CALLENDER,371,7,16,11
IA9615064,CALMAR WATER SUPPLY,Community water system,Ground water,Winneshiek,CALMAR,"1,125",15,7,9
IA7109065,CALUMET WATER SUPPLY,Community water system,Ground water purchased,O'Brien,CALUMET,146,5,2,9
IA2322066,CAMANCHE WATER SUPPLY,Community water system,Ground water,Clinton,CAMANCHE,"4,570",24,5,13
IA8509069,CAMBRIDGE WATER SUPPLY,Community water system,Ground water,Story,CAMBRIDGE,827,12,9,11
IA7700901,CAMP DODGE WATER SUPPLY,Community water system,Ground water,Polk,JOHNSTON,"1,169",16,6,13
IA8920001,CANTRIL WATER SUPPLY,Community water system,Surface water purchased,Van Buren,CANTRIL,224,4,0,11
IA2330303,CARDINAL VALLEY ESTATES 3RD ADDITION,Community water system,Ground water,Clinton,DE WITT,25,5,0,7
IA9113071,CARLISLE WATER SUPPLY,Community water system,Ground water,Warren,CARLISLE,"4,160",13,8,9
IA5700601,CARLTON MOBILE HOME COURT,Community water system,Ground water,Linn,SPRINGVILLE,85,7,12,9
IA8209309,CARRIAGE MEADOWS HOMEOWNERS ASSOCIATION,Community water system,Ground water,Scott,BETTENDORF,80,5,3,12
IA8209307,CARRIAGE PLACE ESTATES HOA,Community water system,Ground water,Scott,BETTENDORF,125,5,12,12
IA1415072,CARROLL MUNICIPAL WATER SUPPLY,Community water system,Ground water,Carroll,CARROLL,"10,321",19,1,13
IA7809078,CARSON WATER SUPPLY,Community water system,Ground water,Pottawattamie,CARSON,766,13,3,10
IA7812079,CARTER LAKE WATER DISTRICT,Community water system,Surface water purchased,Pottawattamie,CARTER LAKE,"3,791",7,17,9
IA3118080,CASCADE MUNICIPAL WATER SUPPLY,Community water system,Ground water,Dubuque,CASCADE,"2,386",16,12,8
IA3914081,CASEY WATER SUPPLY,Community water system,Ground water,Guthrie,CASEY,387,11,2,10
IA9620082,CASTALIA WATER WORKS,Community water system,Ground water,Winneshiek,CASTALIA,145,8,5,9
IA6715083,CASTANA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Monona,CASTANA,107,11,65,13
IA0709600,CEDAR FALLS MOBILE HOME VILLAGE,Community water system,Ground water,Black Hawk,CEDAR FALLS,388,8,5,8
IA0709084,CEDAR FALLS MUNICIPAL WATER UTILITIES,Community water system,Ground water,Black Hawk,CEDAR FALLS,"40,713",43,7,8
IA5715093,CEDAR RAPIDS WATER DEPARTMENT,Community water system,Groundwater under influence of surface water,Linn,CEDAR RAPIDS,"141,420",111,8,10
IA5800601,CEDAR RIVER TRAILER PARK,Community water system,Ground water,Louisa,COLUMBUS JUNCTION,53,8,36,12
IA5700600,CEDAR TERRACE MHC,Community water system,Purchased ground water under influence of surface water source,Linn,CEDAR RAPIDS,600,9,18,8
IA5315005,CENTER JUNCTION (EIRUSS),Community water system,Ground water,Jones,CENTER JUNCTION,100,8,23,9
IA5718006,CENTER POINT WATER SUPPLY,Community water system,Ground water,Linn,CENTER POINT,"2,579",15,2,9
IA0407008,CENTERVILLE MUNICIPAL WATERWORKS,Community water system,Surface water purchased,Appanoose,CENTERVILLE,"5,600",13,13,15
IA5720010,CENTRAL CITY WATER SUPPLY,Community water system,Ground water,Linn,CENTRAL CITY,"1,264",16,9,8
IA3000099,CENTRAL WATER SYSTEM,Community water system,Surface water,Dickinson,OKOBOJI,1,16,15,13
IA9400801,CENTRAL WATER WORKS,Community water system,Ground water,Webster,FORT DODGE,32,5,48,11
IA5282307,CHAIN RIDGE SUBDIVISION,Community water system,Ground water,Johnson,SOLON,25,5,16,9
IA5903011,CHARITON MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Lucas,CHARITON,"4,193",16,95,19
IA3405012,CHARLES CITY WATER SUPPLY,Community water system,Ground water,Floyd,CHARLES CITY,"7,396",15,1,15
IA2324016,CHARLOTTE WATER WORKS,Community water system,Ground water,Clinton,CHARLOTTE,389,13,17,11
IA2417018,CHARTER OAK WATER SUPPLY,Community water system,Ground water purchased,Crawford,CHARTER OAK,535,16,23,13
IA4260602,CHASE MOBILE HOME PARK,Community water system,Ground water purchased,Hardin,IOWA FALLS,60,4,3,3
IA8609019,CHELSEA WATER SUPPLY,Community water system,Ground water purchased,Tama,CHELSEA,229,10,6,10
IA1811001,CHEROKEE RWS - CHEROKEE SUBSYSTEM,Community water system,Ground water,Cherokee,CHEROKEE,"3,268",24,1,13
IA1800900,CHEROKEE RWS- MILL CREEK SUBSYSTEM,Community water system,Ground water,Cherokee,CHEROKEE,"1,430",18,9,9
IA1811020,CHEROKEE WATER SUPPLY - PLANT 1,Community water system,Ground water,Cherokee,CHEROKEE,"5,199",18,0,11
IA5225305,CHERRY HILLS SUBDIVISION,Community water system,Ground water,Johnson,IOWA CITY,59,6,13,10
IA4509024,CHESTER WATER SUPPLY,Community water system,Ground water,Howard,CHESTER,139,6,47,10
IA5784312,CHESTNUT RIDGE,Community water system,Ground water,Linn,CEDAR RAPIDS,33,6,25,9
IA3709001,CHURDAN WATER SUPPLY,Community water system,Ground water purchased,Greene,CHURDAN,365,10,97,16
IA0410026,CINCINNATI MUNICIPAL WATER CO,Community water system,Surface water purchased,Appanoose,CINCINNATI,290,5,5,10
IA9233460,CITY OF KALONA - SOUTHTOWN,Community water system,Ground water,Washington,KALONA,60,9,9,11
IA9420027,CLARE WATER DEPARTMENT,Community water system,Ground water,Webster,CLARE,136,10,10,12
IA1630028,CLARENCE WATER SUPPLY,Community water system,Ground water,Cedar,CLARENCE,"1,039",11,19,12
IA7329501,CLARINDA TREATMENT COMPLEX,Community water system,Ground water,Page,CLARINDA,"1,439",16,27,20
IA7329029,CLARINDA WATER PLANT,Community water system,Surface water,Page,CLARINDA,"4,372",17,15,11
IA9909031,CLARION WATER SUPPLY,Community water system,Ground water,Wright,CLARION,"2,810",12,3,10
IA1228038,CLARKSVILLE WATER SUPPLY,Community water system,Ground water,Butler,CLARKSVILLE,"1,264",7,7,11
IA2203039,CLAYTON WATER SUPPLY,Community water system,Ground water,Clayton,CLAYTON,45,7,4,10
IA1716076,CLEAR LAKE WATER DEPARTMENT,Community water system,Ground water,Cerro Gordo,CLEAR LAKE,"7,687",20,8,12
IA7000600,CLEARVIEW MHC,Community water system,Ground water,Muscatine,MUSCATINE,860,13,11,16
IA1817045,CLEGHORN WATER SUPPLY,Community water system,Ground water,Cherokee,CLEGHORN,240,10,4,9
IA6415046,CLEMONS WATER SUPPLY,Community water system,Ground water purchased,Marshall,CLEMONS,140,10,1,12
IA3317047,CLERMONT WATER SUPPLY,Community water system,Ground water,Fayette,CLERMONT,586,13,30,10
IA7720051,CLIVE WATER DEPARTMENT,Community water system,Surface water purchased,Polk,CLIVE,"18,601",10,5,10
IA0690301,CLOVER RIDGE SUBDIVISION,Community water system,Ground water,Benton,WALFORD,370,7,12,8
IA8616052,CLUTIER WATER SUPPLY,Community water system,Ground water purchased,Tama,CLUTIER,213,8,9,10
IA1600301,COACH ROAD WELL ASSOCIATION,Community water system,Ground water,Cedar,LISBON,60,7,25,12
IA0819303,COAL VALLEY WATER DISTRICT,Community water system,Ground water purchased,Boone,BOONE,230,4,9,9
IA5722053,COGGON WATER DEPARTMENT,Community water system,Ground water,Linn,COGGON,701,9,34,9
IA7335054,COIN WATER SUPPLY,Community water system,Ground water purchased,Page,COIN,176,10,12,12
IA2809055,COLESBURG WATER SUPPLY,Community water system,Ground water,Delaware,COLESBURG,386,10,4,10
IA5009056,COLFAX WATER SUPPLY,Community water system,Ground water,Jasper,COLFAX,"2,255",14,11,15
IA7341059,COLLEGE SPRINGS WATER SUPPLY,Community water system,Surface water purchased,Page,COLLEGE SPRINGS,172,13,60,17
IA8515060,COLLINS WATER SUPPLY,Community water system,Ground water purchased,Story,COLLINS,495,10,12,10
IA8520061,COLO WATER SUPPLY,Community water system,Ground water purchased,Story,COLO,845,11,6,9
IA5809063,COLUMBUS CITY PUBLIC WATER SUPPLY,Community water system,Ground water purchased,Louisa,COLUMBUS CITY,392,11,13,11
IA5815064,COLUMBUS JUNCTION WATER SUPPLY,Community water system,Ground water,Louisa,COLUMBUS JUNCTION,"1,830",15,6,12
IA3409066,"COLWELL, CITY OF",Community water system,Ground water,Floyd,COLWELL,55,6,19,13
IA3809067,CONRAD WATER SUPPLY,Community water system,Ground water purchased,Grundy,CONRAD,"1,093",12,4,11
IA1427070,COON RAPIDS MUNICIPAL UTILITIES,Community water system,Ground water,Carroll,COON RAPIDS,"1,300",12,1,11
IA5200825,CORALVILLE LAKE MANOR,Community water system,Ground water,Johnson,SOLON,170,8,14,14
IA5200817,CORALVILLE LAKE TERRACE,Community water system,Ground water,Johnson,NORTH LIBERTY,340,11,86,13
IA5208071,CORALVILLE MUNI WATER SYSTEM,Community water system,Ground water,Johnson,CORALVILLE,"22,318",39,15,11
IA0220075,CORNING MUNI WATER DEPARTMENT,Community water system,Surface water,Adams,CORNING,"1,564",16,127,14
IA3100899,CORPORATION OF NEW MELLERAY,Community water system,Ground water,Dubuque,DUBUQUE,90,14,5,9
IA9721076,CORRECTIONVILLE WATER SUPPLY,Community water system,Ground water,Woodbury,CORRECTIONVILLE,766,10,3,10
IA5280303,CORRIDOR RIDGE SUBDIVISION,Community water system,Ground water,Johnson,SHUEYVILLE,108,5,11,8
IA4109077,CORWITH WATER SUPPLY,Community water system,Ground water,Hancock,CORWITH,266,7,12,12
IA9334078,CORYDON WATER SUPPLY,Community water system,Surface water purchased,Wayne,CORYDON,"1,526",9,148,9
IA5200801,COTTAGE RESERVE CORPORATION,Community water system,Ground water,Johnson,IOWA CITY,198,8,13,11
IA3525079,COULTER WATER SUPPLY,Community water system,Ground water,Franklin,COULTER,219,11,8,11
IA7820080,COUNCIL BLUFFS WATER WORKS,Community water system,Surface water,Pottawattamie,COUNCIL BLUFFS,"64,447",40,3,12
IA8200601,COUNTRY ESTATES MHP,Community water system,Ground water,Scott,LONG GROVE,150,9,49,11
IA6500600,COUNTRY ESTATES MOBILE HOME PARK,Community water system,Ground water,Pottawattamie,COUNCIL BLUFFS,35,5,35,10
IA3122301,COUNTRY HILLS WATER CORP,Community water system,Ground water,Dubuque,CENTRALIA,31,5,24,10
IA5784307,COUNTRY MANOR ESTATES,Community water system,Ground water,Linn,HIAWATHA,228,15,54,9
IA9233899,COUNTRY VIEW SUBDIVISION HOA,Community water system,Ground water,Johnson,KALONA,55,9,10,10
IA4500901,COUNTRY WINDS MANOR INC-RESIDENTIAL CARE,Community water system,Ground water,Howard,CRESCO,86,9,94,9
IA7521084,CRAIG WATER WORKS,Community water system,Ground water purchased,Plymouth,CRAIG,79,6,11,9
IA9214085,CRAWFORDSVILLE WATER SUPPLY,Community water system,Ground water purchased,Washington,CRAWFORDSVILLE,277,9,1,11
IA7822086,CRESCENT WATER SUPPLY,Community water system,Surface water purchased,Pottawattamie,CRESCENT,628,7,11,12
IA4515087,CRESCO WATERWORKS,Community water system,Ground water,Howard,CRESCO,"3,913",15,14,10
IA8816089,CRESTON WATER SUPPLY,Community water system,Surface water,Union,CRESTON,"7,536",18,14,12
IA5784314,CRESTWOOD ACRES,Community water system,Ground water,Linn,CEDAR RAPIDS,50,6,26,9
IA4115092,CRYSTAL LAKE WATER SUPPLY,Community water system,Ground water,Hancock,CRYSTAL LAKE,253,8,3,13
IA5252301,CUMBERLAND RIDGE FIRST ADDITION,Community water system,Ground water,Johnson,NORTH LIBERTY,55,5,20,11
IA1516093,CUMBERLAND WATER SUPPLY,Community water system,Ground water,Cass,CUMBERLAND,251,15,1,12
IA9725094,CUSHING WATER SUPPLY,Community water system,Ground water,Woodbury,CUSHING,230,10,15,9
IA4622095,DAKOTA CITY WATER SUPPLY,Community water system,Ground water,Humboldt,DAKOTA CITY,774,11,5,15
IA2520098,DALLAS CENTER WATER SUPPLY,Community water system,Ground water,Dallas,DALLAS CENTER,"1,901",21,0,9
IA9729099,DANBURY WATER SUPPLY,Community water system,Ground water,Woodbury,DANBURY,320,7,24,10
IA2915000,DANVILLE WATER SUPPLY,Community water system,Surface water purchased,Des Moines,DANVILLE,927,15,22,13
IA2525010,DAWSON WATER WORKS,Community water system,Ground water,Dallas,DAWSON,116,9,20,9
IA9425011,DAYTON MUNICIPAL WATER SUPPLY,Community water system,Ground water,Webster,DAYTON,772,9,11,12
IA2529035,DE SOTO WATER SUPPLY,Community water system,Ground water,Dallas,DE SOTO,960,19,16,11
IA2330036,DE WITT WATER SUPPLY,Community water system,Ground water,Clinton,DE WITT,"5,514",19,4,10
IA9630012,DECORAH WATER DEPARTMENT,Community water system,Ground water,Winneshiek,DECORAH,"7,615",32,5,10
IA1433016,DEDHAM WATER SUPPLY,Community water system,Ground water purchased,Carroll,DEDHAM,224,10,34,13
IA7915017,DEEP RIVER WATER SUPPLY,Community water system,Ground water purchased,Poweshiek,DEEP RIVER,249,10,16,11
IA9433302,DEER CREEK SUBDIVISION (FORT DODGE),Community water system,Ground water,Webster,FORT DODGE,55,5,9,9
IA2570304,DEER HUNTERS RUN,Community water system,Surface water purchased,Dallas,VAN METER,65,7,2,8
IA5765303,DEER RIDGE HOMEOWNERS WATER ASSC.,Community water system,Ground water,Linn,PALO,94,7,3,7
IA8215325,DEER VALLEY HOMEOWNERS ASSOC,Community water system,Ground water,Scott,BLUE GRASS,44,5,5,10
IA9630316,DEERFIELD HEIGHTS ASSOCIATION,Community water system,Ground water,Winneshiek,DECORAH,28,6,21,7
IA9433349,DEERWOOD ESTATES UTILITIES,Community water system,Ground water,Webster,FORT DODGE,175,15,8,10
IA8315018,DEFIANCE WATER DEPARTMENT,Community water system,Ground water,Shelby,DEFIANCE,245,13,42,14
IA2813019,DELAWARE MUNICIPAL WATER SUPPLY,Community water system,Ground water,Delaware,DELAWARE,142,9,13,9
IA2817020,DELHI WATER SUPPLY,Community water system,Ground water,Delaware,DELHI,420,10,83,9
IA2328024,DELMAR WATER SUPPLY,Community water system,Ground water,Clinton,DELMAR,542,12,2,10
IA2421025,DELOIT MUNI WATER SUPPLY,Community water system,Ground water,Crawford,DELOIT,250,8,22,13
IA5417026,DELTA WATER SUPPLY,Community water system,Ground water purchased,Keokuk,DELTA,264,9,10,11
IA2424027,DENISON WATER SUPPLY,Community water system,Ground water,Crawford,DENISON,"8,373",35,3,14
IA0915030,DENVER WATER SUPPLY,Community water system,Ground water,Bremer,DENVER,"1,919",8,3,9
IA7727031,DES MOINES WATER WORKS,Community water system,Surface water,Polk,DES MOINES,"245,123",119,22,21
IA8218301,DEVILS CREEK ESTATES HOME ASSOC,Community water system,Ground water,Scott,BUFFALO,145,11,59,10
IA2533038,DEXTER WATER SUPPLY,Community water system,Ground water,Dallas,DEXTER,640,12,8,10
IA8018040,DIAGONAL WATER DEPARTMENT,Community water system,Surface water purchased,Ringgold,DIAGONAL,344,9,12,11
IA2109041,DICKENS WATER WORKS,Community water system,Ground water purchased,Clay,SPENCER,146,5,1,10
IA3815042,DIKE WATER SUPPLY,Community water system,Ground water purchased,Grundy,DIKE,"1,304",9,5,11
IA7709801,DMWW-GREENBRIER ESTATES,Community water system,Surface water purchased,Dallas,CUMMING,300,10,11,10
IA8209600,DODDS VALLEY VIEW WATER ASSN,Community water system,Ground water,Scott,BETTENDORF,220,5,27,12
IA3215044,DOLLIVER MUNI WATER SUPPLY,Community water system,Ground water,Emmet,DOLLIVER,65,8,41,10
IA8227045,DONAHUE MUNI WATER SYSTEM,Community water system,Ground water,Scott,DONAHUE,335,9,13,11
IA5620046,DONNELLSON MUNI WATER WORKS,Community water system,Ground water purchased,Lee,DONNELLSON,885,12,47,11
IA6015047,DOON WATER SUPPLY,Community water system,Ground water purchased,Lyon,DOON,619,13,61,11
IA3544301,DORELL DRIVE HOME OWNERS ASSOCIATION,Community water system,Ground water,Franklin,HAMPTON,32,8,1,10
IA2427049,DOW CITY WATER WORKS,Community water system,Ground water,Crawford,DOW CITY,485,14,17,14
